exercise
A-bench-heavy
A-bench-heavy2
A-bench-heavy2-rpe8
A-bench-heavy3-rpe8
A-dead-heavy
A-dead-medium
A-dead-medium1-rpe6
A-ohp-heavy
A-ohp-heavy1-rpe8
A-ohp-heavy2-rpe7
A-ohp-heavy3-rpe7
A-ohp-medium1-rpe7
A-ohp-medium2-rpe7
A-ohp-medium3-rpe7
A-rest-sitting
A-rest-standing
A-row-heavy
A-squat-heavy
A-squat-medium1-rpe7
A-squat-medium2-rpe8
A-squat-medium3-rpe7
B-bench-heavy1-rpe8
B-bench-heavy2-rpe8
B-ohp-heavy1-rpe8
B-ohp-heavy2-rpe7
B-ohp-heavy3-rpe8
B-ohp-medium1-rpe8
B-ohp-medium2-rpe8
B-ohp-medium3-rpe9
B-squat-medium1-rpe9
C-bench-heavy
C-bench-heavy1
C-bench-heavy2
C-dead-medium
C-ohp-heavy
C-row-heavy
C-row-medium
C-squat-heavy
D-bench-medium
D-row-medium
D-squat-heavy
D-squat-medium
E-bench-heavy
E-bench-heavy2
E-bench-heavy2-rpe8
E-bench-heavy3-rpe8
E-bench-medium
E-dead-heavy
E-dead-medium
E-dead-medium1-rpe6
E-ohp-heavy
E-rest-sitting
E-rest-standing
E-row-heavy
E-row-medium
E-squat-heavy
